epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
156,34296.9,0.99957,0.42281,0.1053,0.54299,0.39156,0.38576,0.20807,0.95671,0.43206,0.09135,0.00128599,0.00128599,0.00128599
157,34704.8,1.10259,0.4058,0.11531,0.54734,0.39505,0.38983,0.21127,0.94432,0.43615,0.09059,0.00123596,0.00123596,0.00123596
158,35111.9,0.9713,0.43319,0.10343,0.54638,0.39829,0.39258,0.21245,0.93817,0.4397,0.09021,0.00118687,0.00118687,0.00118687
159,35519.8,0.93492,0.43829,0.10348,0.54915,0.40093,0.39524,0.21329,0.93258,0.44289,0.08979,0.00113873,0.00113873,0.00113873
160,35928.2,0.93335,0.44051,0.10225,0.55259,0.40237,0.39769,0.21419,0.92665,0.44673,0.08934,0.00109156,0.00109156,0.00109156
161,36336.9,0.92784,0.43799,0.10256,0.5547,0.40499,0.40057,0.21538,0.92012,0.45008,0.08886,0.00104537,0.00104537,0.00104537
162,36744.1,0.92852,0.43676,0.10176,0.55586,0.40842,0.40348,0.21661,0.91416,0.45297,0.08857,0.00100016,0.00100016,0.00100016
163,37151.3,0.9153,0.44109,0.10094,0.55554,0.41089,0.40541,0.21797,0.90746,0.45648,0.0881,0.000955951,0.000955951,0.000955951
164,37567.3,0.91493,0.43962,0.10201,0.55489,0.41395,0.40824,0.2192,0.90233,0.45901,0.08788,0.000912754,0.000912754,0.000912754
165,37998.3,0.89891,0.44009,0.09799,0.55708,0.41694,0.41183,0.22115,0.89496,0.46213,0.08744,0.000870577,0.000870577,0.000870577
166,38425.2,0.91245,0.43756,0.10249,0.55672,0.4194,0.41407,0.22215,0.89007,0.46455,0.08714,0.000829431,0.000829431,0.000829431
167,38851,0.89202,0.44242,0.09787,0.55965,0.42159,0.41639,0.22347,0.88456,0.46701,0.08683,0.000789327,0.000789327,0.000789327
168,39284.8,0.91589,0.43459,0.10466,0.56439,0.42363,0.41934,0.22499,0.87896,0.46936,0.08649,0.000750274,0.000750274,0.000750274
169,39705.1,0.88899,0.44005,0.09976,0.56381,0.42525,0.42116,0.22626,0.87339,0.47178,0.08624,0.000712282,0.000712282,0.000712282
170,40124.9,0.89056,0.44101,0.10006,0.56559,0.42809,0.42369,0.22772,0.86887,0.47381,0.08603,0.00067536,0.00067536,0.00067536
171,40537.9,0.87608,0.44128,0.09731,0.5675,0.42937,0.42597,0.22929,0.8639,0.47594,0.08572,0.000639518,0.000639518,0.000639518
